file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220715T134055624_V01.fits,[],[],150464821957.92358
solo_L2_eui-fsi174-image_20220715T135055242_V01.fits,[],[],150463089429.87506
solo_L2_eui-fsi174-image_20220715T140055649_V01.fits,"[-910.2311233859509, -1049.648680514656, -973.5300829145126]","[363.5995520896422, 302.32983743000807, 208.98417495135033]",150461358026.5971
solo_L2_eui-fsi174-image_20220715T141055654_V01.fits,"[-881.9448700593784, -1082.7071001078002, -978.2599238625262]","[405.0969974570303, 312.40960264615944, 199.29494169232362]",150459623262.40182
solo_L2_eui-fsi174-image_20220715T142055246_V01.fits,"[-918.0648739642929, -1136.2032870866824, -1037.337926890701]","[374.9915155983131, 283.5798757297546, 176.84092385163137]",150457888577.87616
solo_L2_eui-fsi174-image_20220715T143055246_V01.fits,"[-902.967063635122, -1165.8445654108655, -1019.7640663122294]","[403.80062912654824, 267.9414466386801, 157.82962452629718]",150456154005.61127
solo_L2_eui-fsi174-image_20220715T144055689_V01.fits,"[-923.3259208910167, -1316.620430178009, -1118.2646702220663]","[443.21097038873773, 292.65948780538866, 173.26050711714623]",150454417166.4509
solo_L2_eui-fsi174-image_20220715T145055249_V01.fits,[],[],150452677964.87936
solo_L2_eui-fsi174-image_20220715T150055250_V01.fits,"[-916.7615667076315, -1441.7764962762594, -1118.1694547473453]","[461.4239971685839, 272.75593137666965, 92.07743909303005]",150450940237.1091
solo_L2_eui-fsi174-image_20220715T151055724_V01.fits,[],[],150449200148.0506
solo_L2_eui-fsi174-image_20220715T152055256_V01.fits,[],[],150447457602.59305
solo_L2_eui-fsi174-image_20220715T153055253_V01.fits,[],[],150445716706.9987
solo_L2_eui-fsi174-image_20220715T154055253_V01.fits,[],[],150443973382.1927
solo_L2_eui-fsi174-image_20220715T155055255_V01.fits,[],[],150442228960.59137
solo_L2_eui-fsi174-image_20220715T160055358_V01.fits,[],[],150440483454.94513
solo_L2_eui-fsi174-image_20220715T161055395_V01.fits,[],[],150438736570.43338
solo_L2_eui-fsi174-image_20220715T162055258_V01.fits,[],[],150436988793.81256
solo_L2_eui-fsi174-image_20220715T163055258_V01.fits,[],[],150435240441.41525
solo_L2_eui-fsi174-image_20220715T164055651_V01.fits,[],[],150433490603.8071
solo_L2_eui-fsi174-image_20220715T165055261_V01.fits,[],[],150431738538.5132
solo_L2_eui-fsi174-image_20220715T180055143_V01.fits,[],[],150429987677.83798
solo_L2_eui-fsi174-image_20220715T181055589_V01.fits,[],[],150417693681.0151
