file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220328T111045208_V02.fits,[],[],48684964838.69558
solo_L2_eui-fsi174-image_20220328T112045209_V02.fits,"[-3405.7205124369357, -4269.26250420115, -3554.1532780709676]","[1708.450323942689, 1466.6386272318018, -109.58302656603145]",48687931303.68289
solo_L2_eui-fsi174-image_20220328T113045210_V02.fits,"[-4381.064974823967, -6516.363258487079, -4291.273483504541]","[3633.9385486071287, 1270.886353139515, -1253.1282997746252]",48690909501.886345
solo_L2_eui-fsi174-image_20220328T114045211_V02.fits,[],[],48693897863.73043
