file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220710T172045288_V01.fits,[],[],151409828086.22076
solo_L2_eui-fsi174-image_20220710T173045288_V01.fits,"[-668.6810184521601, -625.949570750352, -448.62145305564627]","[-716.7430600623384, -1130.5667398488636, -1025.0311661178682]",151408849912.316
solo_L2_eui-fsi174-image_20220710T174045290_V01.fits,"[-712.7329046127852, -640.4229799336754, -334.007332918467]","[-686.0065278992437, -1192.5287039401126, -935.6610547845822]",151407870663.78958
solo_L2_eui-fsi174-image_20220710T175045291_V01.fits,[],[],151406890336.59732
solo_L2_eui-fsi174-image_20220710T180045292_V01.fits,"[-764.7095193075947, -782.2414549679961, -217.18992445757613]","[-638.6864756586638, -1342.857973766782, -959.8812794707716]",151405908934.74335
solo_L2_eui-fsi174-image_20220710T181045293_V01.fits,[],[],151404926457.07446
