file,lon [arcsec],lat [arcsec]
solo_L2_eui-fsi174-image_20220321T051045220_V01.fits,"[2682.0327806341907, 3352.792416793656, 3258.6857636042387]","[-1503.080402608374, -1457.560176406605, -1000.6853910112537]"
solo_L2_eui-fsi174-image_20220321T052045221_V01.fits,"[2511.0126253817743, 3516.1801977792597, 3306.6971784807406]","[-2106.9323746308655, -1997.3253089277123, -1040.3294135550182]"
solo_L2_eui-fsi304-image_20220321T053015222_V01.fits,"[2312.058649511612, 3576.6647247452447, 3603.8510323504743]","[-2432.9047322436927, -2089.401618659082, -907.0524743964044]"
solo_L2_eui-fsi174-image_20220321T053045221_V01.fits,"[2608.919461967028, 5799.676983975373, 4924.193810978345]","[-3204.014827214456, -2697.092877038972, -33.68854136351266]"
