file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220326T193845212_V02.fits,"[3495.8638061756214, 3618.0153282892766, 2651.6412129268538]","[1726.9649557679359, 2508.3574676293174, 2370.57456270667]",48266452473.9017
solo_L2_eui-fsi174-image_20220326T194845208_V02.fits,"[3706.7646942674387, 3749.1871257566204, 2795.209327366607]","[1725.4244563563796, 2782.1950270014486, 2720.6463611541817]",48274227216.842545
solo_L2_eui-fsi174-image_20220326T195845209_V02.fits,"[4467.6208773961, 4416.027419984101, 3031.393940584896]","[1934.9996173297084, 3439.837723830266, 3304.459322173642]",48274730200.37354
solo_L2_eui-fsi174-image_20220326T200845210_V02.fits,"[4744.599837334499, 4822.115331772898, 2608.2364932781147]","[2025.7065629130964, 4014.969014863718, 3394.4296318677298]",48275243792.43549
solo_L2_eui-fsi174-image_20220326T201845211_V02.fits,"[4954.815465635921, 5362.138678852164, 2278.394954327727]","[1841.3790708961471, 3927.321283250166, 3216.145731056266]",48275767988.66251
solo_L2_eui-fsi174-image_20220326T202845213_V02.fits,"[5269.295046811979, 5721.170710657309, 2658.1935345985567]","[1774.6391660046588, 4073.996649585329, 3436.4034215119373]",48276302788.2106
solo_L2_eui-fsi174-image_20220326T203845213_V02.fits,"[5481.455904244908, 5873.1024626514745, 3080.5848166096603]","[1745.3995924518422, 4246.51815911974, 4068.4284701665874]",48276848190.762665
