file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220430T060045231_V01.fits,[],[],102092590975.46242
solo_L2_eui-fsi174-image_20220430T061045232_V01.fits,[],[],102103667942.51164
solo_L2_eui-fsi174-image_20220430T062045233_V01.fits,[],[],102114743616.88028
solo_L2_eui-fsi174-image_20220430T063045234_V01.fits,[],[],102125817982.43657
solo_L2_eui-fsi174-image_20220430T064045235_V01.fits,[],[],102136891078.8163
solo_L2_eui-fsi174-image_20220430T065045235_V01.fits,[],[],102147962866.51064
solo_L2_eui-fsi174-image_20220430T070045237_V01.fits,[],[],102159033337.29166
solo_L2_eui-fsi174-image_20220430T071045239_V01.fits,[],[],102170102552.738
solo_L2_eui-fsi174-image_20220430T072045239_V01.fits,[],[],102181170455.33722
solo_L2_eui-fsi174-image_20220430T073045240_V01.fits,[],[],102192237042.2132
solo_L2_eui-fsi174-image_20220430T074045242_V01.fits,[],[],102203302365.91537
solo_L2_eui-fsi174-image_20220430T075045242_V01.fits,[],[],102214366381.90671
solo_L2_eui-fsi174-image_20220430T080045244_V01.fits,[],[],102225429094.8934
solo_L2_eui-fsi174-image_20220430T081045245_V01.fits,[],[],102236490521.12425
solo_L2_eui-fsi174-image_20220430T082045246_V01.fits,[],[],102247550646.45981
solo_L2_eui-fsi174-image_20220430T083045247_V01.fits,[],[],102258609471.66466
solo_L2_eui-fsi174-image_20220430T084045247_V01.fits,[],[],102269667003.42157
solo_L2_eui-fsi174-image_20220430T085045249_V01.fits,[],[],102280723229.56439
solo_L2_eui-fsi174-image_20220430T090045250_V01.fits,[],[],102291778178.98064
solo_L2_eui-fsi174-image_20220430T091045251_V01.fits,[],[],102302831824.03706
solo_L2_eui-fsi174-image_20220430T092045252_V01.fits,[],[],102313884175.91235
solo_L2_eui-fsi174-image_20220430T093045253_V01.fits,[],[],102324935221.32385
solo_L2_eui-fsi174-image_20220430T094045254_V01.fits,[],[],102335984973.40341
solo_L2_eui-fsi174-image_20220430T095045255_V01.fits,[],[],102347033432.64491
solo_L2_eui-fsi174-image_20220430T100045256_V01.fits,[],[],102358080589.42116
solo_L2_eui-fsi174-image_20220430T101045257_V01.fits,[],[],102369126453.49536
solo_L2_eui-fsi174-image_20220430T102045258_V01.fits,[],[],102380171025.91014
solo_L2_eui-fsi174-image_20220430T103045259_V01.fits,[],[],102391214289.46753
solo_L2_eui-fsi174-image_20220430T104045260_V01.fits,[],[],102402256261.78857
solo_L2_eui-fsi174-image_20220430T105045261_V01.fits,[],[],102413296935.50108
