file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220620T213045257_V01.fits,"[940.970869720584, 1362.7707451187266, 1173.8594926794976]","[-742.9217945324917, -603.4761028451547, -210.2313456278573]",149822397210.30423
solo_L2_eui-fsi174-image_20220620T214045333_V01.fits,"[895.9291265123707, 1564.875580654841, 1254.3006311496326]","[-785.7926010391344, -622.7702732654934, -150.53502332408337]",149824491867.26605
solo_L2_eui-fsi174-image_20220620T215045255_V01.fits,[],[],149826585870.5961
solo_L2_eui-fsi174-image_20220620T220045334_V01.fits,[],[],149828678248.58783
