file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220415T101045173_V01.fits,[],[],75833991030.24507
solo_L2_eui-fsi174-image_20220415T102045174_V01.fits,[],[],75847181755.41925
solo_L2_eui-fsi174-image_20220415T103045316_V01.fits,[],[],75860373284.12067
solo_L2_eui-fsi174-image_20220415T104045248_V01.fits,[],[],75873567621.40738
solo_L2_eui-fsi174-image_20220415T105045177_V01.fits,"[2043.0143776570262, 2140.01894623043, 1892.2440217078574]","[195.4786854537871, 274.77746427420044, 575.4890242982851]",75886757043.8426
solo_L2_eui-fsi174-image_20220415T110045406_V01.fits,"[1979.6260116023886, 2203.611279937627, 1848.7453975442895]","[218.28810055909773, 249.90363745860338, 607.0514712575022]",75899946138.41975
solo_L2_eui-fsi174-image_20220415T111045310_V01.fits,"[2064.898172044405, 2365.7456354614374, 1904.8045387473344]","[141.13931350157273, 222.15775425408188, 557.9709323129412]",75913141526.19897
solo_L2_eui-fsi174-image_20220415T112045216_V01.fits,"[2208.4952735953175, 2596.203668169778, 1930.1093431636657]","[5.418712895681889, 155.46856213970534, 567.0056905241458]",75926329471.30142
solo_L2_eui-fsi174-image_20220415T113045433_V01.fits,"[2814.9330110641317, 3213.2185332409786, 2177.9769037760952]","[-388.6807950714648, -159.7172606977342, 709.1163435163356]",75939517167.22588
solo_L2_eui-fsi174-image_20220415T114045375_V01.fits,[],[],75952711411.3561
