file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220325T050045423_V02.fits,"[-3276.6543661931064, -3358.727850221796, -3069.256686614128]","[-649.3004415951689, -1009.9891440953704, -1358.754826153802]",48455809459.13525
solo_L2_eui-fsi174-image_20220325T051045428_V02.fits,"[-3719.07069220324, -3876.1338292569853, -2841.8781444064807]","[-589.3153213155608, -1433.178000078767, -1839.1063158332263]",48443511851.93555
solo_L2_eui-fsi174-image_20220325T052045452_V02.fits,"[-4839.010879416252, -5266.611287315143, -3717.51063097897]","[7.446846138359085, -1668.7882633576512, -2616.6020662728806]",48441565808.536224
solo_L2_eui-fsi174-image_20220325T053045469_V02.fits,[],[],48439630125.85685
