file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220725T030055187_V01.fits,[],[],147057388398.90198
solo_L2_eui-fsi174-image_20220725T033055205_V01.fits,[],[],147047678642.64566
solo_L2_eui-fsi174-image_20220725T040055192_V01.fits,[],[],147037958836.0976
solo_L2_eui-fsi174-image_20220725T043055195_V01.fits,[],[],147028229214.55276
solo_L2_eui-fsi174-image_20220725T060047205_V01.fits,"[-1098.5802017182577, -1299.576244993601, -1114.4125801764894]","[286.844422410148, 176.83849648072882, 47.19195143937791]",147018489524.9997
solo_L2_eui-fsi174-image_20220725T063055207_V01.fits,[],[],146989253992.11414
solo_L2_eui-fsi174-image_20220725T070055210_V01.fits,"[-1181.0596735139843, -1393.8189081219025, -1200.004114120733]","[422.7044656202911, 236.3050137754645, 46.63390442313024]",146979430986.73648
solo_L2_eui-fsi174-image_20220725T073055214_V01.fits,"[-1150.8047193177044, -1399.6761835135985, -1178.3017400437966]","[452.0091378046133, 250.5429029530862, 35.686803004422764]",146969641375.7613
solo_L2_eui-fsi174-image_20220725T080055216_V01.fits,"[-1192.7630731116515, -1669.4780255693477, -1353.9036424753722]","[506.9291581212267, 243.94922798681222, 28.763312262542456]",146959841779.0816
solo_L2_eui-fsi174-image_20220725T083055219_V01.fits,"[-1605.353870159248, -2021.8165540234186, -1625.6023013177328]","[687.9727981373594, 356.2344651418596, -64.503918256116]",146950032201.1874
solo_L2_eui-fsi174-image_20220725T090055223_V01.fits,[],[],146940212627.26373
solo_L2_eui-fsi174-image_20220725T093055226_V01.fits,[],[],146930383068.3698
