file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220330T042045225_V02.fits,[],[],49717861454.08472
solo_L2_eui-fsi174-image_20220330T051045224_V02.fits,[],[],49723224400.82929
solo_L2_eui-fsi174-image_20220330T052045226_V02.fits,"[3282.785367625613, 3175.483234190826, 2233.5386046425706]","[1588.7683594313746, 2918.700137976132, 2673.443083209753]",49750176102.815414
solo_L2_eui-fsi174-image_20220330T053045227_V02.fits,"[3459.947563437116, 3410.4764436059963, 2258.85928489207]","[1632.354302398544, 2945.2492549774333, 2758.8053561477536]",49755593828.72433
solo_L2_eui-fsi174-image_20220330T054045229_V02.fits,"[3541.9181463628215, 3486.8028180012216, 2299.414796004498]","[1335.5819862767678, 2955.9466661587253, 2917.389135882297]",49761020660.98527
solo_L2_eui-fsi174-image_20220330T055045230_V02.fits,"[4309.799158029777, 3993.620801691286, 2178.759134838695]","[1504.726372882475, 3313.7245348244387, 3300.6422495456527]",49766456598.91835
solo_L2_eui-fsi174-image_20220330T060045231_V02.fits,"[4914.379005219922, 5075.910763282109, 2094.8623181606363]","[778.1936751591768, 3665.9644527089276, 3577.6153169166246]",49771901636.73724
