file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220623T052045220_V01.fits,[],[],150463396907.11646
solo_L2_eui-fsi174-image_20220623T053045221_V01.fits,"[559.5466254995005, 873.474078605506, 863.7031433138015]","[-850.2749363319069, -789.5353221615966, -486.3103860928835]",150465128135.26492
solo_L2_eui-fsi174-image_20220623T054045222_V01.fits,"[530.0839634655503, 1077.5985970697905, 959.5473037189]","[-908.1276316533475, -973.2054683533621, -413.7701529532832]",150466858281.8898
solo_L2_eui-fsi174-image_20220623T055045224_V01.fits,"[332.38783593017473, 1142.9510990391218, 945.9021375670873]","[-917.5745140284126, -970.3569272257994, -392.86420776766073]",150468587344.23322
solo_L2_eui-fsi174-image_20220623T060045224_V01.fits,[],[],150470315324.90125
solo_L2_eui-fsi174-image_20220623T061045225_V01.fits,[],[],150472042219.4271
solo_L2_eui-fsi174-image_20220623T062045227_V01.fits,[],[],150473768034.7177
solo_L2_eui-fsi174-image_20220623T063045227_V01.fits,[],[],150475492766.21875
solo_L2_eui-fsi174-image_20220623T064045229_V01.fits,[],[],150477216413.7268
solo_L2_eui-fsi174-image_20220623T065045229_V01.fits,[],[],150478938980.32156
solo_L2_eui-fsi174-image_20220623T070045231_V01.fits,[],[],150480660461.24246
