file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220626T103045196_V01.fits,[],[],151149322253.26343
solo_L2_eui-fsi174-image_20220626T104045197_V01.fits,"[-773.6599371661432, -1006.4941614305136, -912.4176348813343]","[653.2356672937173, 565.9708401577817, 325.36249546707586]",151150553309.73666
solo_L2_eui-fsi174-image_20220626T105045198_V01.fits,"[-798.3743937602267, -1085.0727708113845, -931.4168613289949]","[666.431481016194, 655.9327723752212, 315.82527405014935]",151151783287.81003
solo_L2_eui-fsi174-image_20220626T110045199_V01.fits,[],[],151153012188.77493
solo_L2_eui-fsi174-image_20220626T111045200_V01.fits,[],[],151154240011.92065
solo_L2_eui-fsi174-image_20220626T112045201_V01.fits,[],[],151155466757.5371
