file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220827T001055185_V01.fits,"[-1273.211539074313, -1358.970587875694, -1109.8360543309245]","[-408.28192494725, -612.1468064086729, -717.6119758848329]",118688998309.50562
solo_L2_eui-fsi174-image_20220827T002055186_V01.fits,[],[],118680099374.38614
solo_L2_eui-fsi174-image_20220827T003055187_V01.fits,[],[],118671199145.68578
solo_L2_eui-fsi174-image_20220827T004055210_V01.fits,[],[],118662297613.86058
solo_L2_eui-fsi174-image_20220827T005055189_V01.fits,[],[],118653394462.3211
solo_L2_eui-fsi174-image_20220827T010055191_V01.fits,[],[],118644490661.72311
solo_L2_eui-fsi174-image_20220827T011055198_V01.fits,"[-1338.1261142625008, -1456.9363450976089, -1174.1703811951447]","[-485.7917380520188, -758.8594812568056, -802.5615173164305]",118635585210.98964
solo_L2_eui-fsi174-image_20220827T012055192_V01.fits,"[-1463.3145536105148, -1572.085643605562, -1159.4655580448452]","[-477.5497682207817, -785.3697184063284, -887.9608213098426]",118626678397.38655
solo_L2_eui-fsi174-image_20220827T013055193_V01.fits,[],[],118617770479.3549
solo_L2_eui-fsi174-image_20220827T014055194_V01.fits,"[-1568.2308731230441, -1748.721759039443, -918.6126662294846]","[-362.04242630770324, -1159.526992982223, -1045.7156624581185]",118608861156.02226
solo_L2_eui-fsi174-image_20220827T015055195_V01.fits,[],[],118599950529.51437
solo_L2_eui-fsi174-image_20220827T020055196_V01.fits,[],[],118591038603.18982
solo_L2_eui-fsi174-image_20220827T021055197_V01.fits,[],[],118582125381.76892
solo_L2_eui-fsi174-image_20220827T022055198_V01.fits,[],[],118573210855.24045
solo_L2_eui-fsi174-image_20220827T023055199_V01.fits,[],[],118564295033.54208
solo_L2_eui-fsi174-image_20220827T024055200_V01.fits,[],[],118555377910.96454
solo_L2_eui-fsi174-image_20220827T025055201_V01.fits,[],[],118546459486.56335
solo_L2_eui-fsi174-image_20220827T030055202_V01.fits,[],[],118537539766.87811
solo_L2_eui-fsi174-image_20220827T031055204_V01.fits,[],[],118528618743.92693
solo_L2_eui-fsi174-image_20220827T032055205_V01.fits,[],[],118519696416.53792
solo_L2_eui-fsi174-image_20220827T033055205_V01.fits,[],[],118510772795.56659
solo_L2_eui-fsi174-image_20220827T034055207_V01.fits,[],[],118501847874.61693
solo_L2_eui-fsi174-image_20220827T035055207_V01.fits,[],[],118492921651.60954
solo_L2_eui-fsi174-image_20220827T040055208_V01.fits,[],[],118483994131.50165
