file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220321T052045221_V01.fits,"[2620.788057448146, 3368.7395963652148, 3125.073515775451]","[-1543.6019532387256, -1492.8423078326862, -945.8403331385045]",51180047666.27176
solo_L2_eui-fsi174-image_20220321T053045221_V01.fits,"[2576.939750351389, 3794.546184341762, 3368.0630749135835]","[-2110.56795736792, -1783.6742668829097, -478.9497735966092]",51172734443.21563
solo_L2_eui-fsi174-image_20220321T054045223_V01.fits,"[1474.9051916207193, 5720.278096869208, 3714.7054510272833]","[-3171.215569278064, -2769.397343951579, 444.5370399869867]",51165429092.71356
solo_L2_eui-fsi174-image_20220321T055045223_V01.fits,"[1106.5695979044092, 6003.756696733636, 3700.5008421999287]","[-3266.159200438838, -2932.7109159517513, 903.1819332993307]",51158131612.01439
