file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220621T185045264_V01.fits,[],[],150081697830.11743
solo_L2_eui-fsi174-image_20220621T190045265_V01.fits,[],[],150083653537.55588
solo_L2_eui-fsi174-image_20220621T191045266_V01.fits,[],[],150085608159.78403
solo_L2_eui-fsi174-image_20220621T192045267_V01.fits,"[-1006.9692095532081, -1072.756305334391, -846.1216708896682]","[-449.42206645146166, -749.584925928997, -724.5754643723757]",150087561695.62247
solo_L2_eui-fsi174-image_20220621T193045268_V01.fits,"[-1037.1146640442312, -1052.5780365888495, -720.1794614274986]","[-470.7649828894029, -913.5929003501624, -895.4066910213359]",150089514143.05194
solo_L2_eui-fsi174-image_20220621T194045270_V01.fits,[],[],150091465510.0794
solo_L2_eui-fsi174-image_20220621T195045270_V01.fits,[],[],150093415788.57776
solo_L2_eui-fsi174-image_20220621T200045271_V01.fits,[],[],150095364980.00385
solo_L2_eui-fsi174-image_20220621T201045272_V01.fits,[],[],150097313086.99973
solo_L2_eui-fsi174-image_20220621T202045274_V01.fits,[],[],150099260105.81537
solo_L2_eui-fsi174-image_20220621T203045274_V01.fits,[],[],150101206043.24814
solo_L2_eui-fsi174-image_20220621T204045276_V01.fits,[],[],150103150891.7886
solo_L2_eui-fsi174-image_20220621T205045277_V01.fits,[],[],150105094655.85532
solo_L2_eui-fsi174-image_20220621T210045278_V01.fits,[],[],150107037333.97928
solo_L2_eui-fsi174-image_20220621T211045279_V01.fits,[],[],150108978926.07697
solo_L2_eui-fsi174-image_20220621T212045280_V01.fits,[],[],150110919431.91632
solo_L2_eui-fsi174-image_20220621T213045281_V01.fits,[],[],150112858852.25293
solo_L2_eui-fsi174-image_20220621T214045282_V01.fits,[],[],150114797187.1508
