file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220403T144045269_V01.fits,[],[],54752768498.56091
solo_L2_eui-fsi174-image_20220403T145045270_V01.fits,[],[],54762789960.7659
solo_L2_eui-fsi174-image_20220403T150045271_V01.fits,"[-2964.2807678843383, -3515.7740366153885, -2674.9532750213984]","[-856.3168938446589, -1381.49313591702, -1554.7530626644705]",54772816786.075356
solo_L2_eui-fsi174-image_20220403T151045272_V01.fits,"[-3053.272886914434, -3617.0207830795553, -2756.611155531369]","[-847.7306217988057, -1447.2973314323133, -1675.032735533317]",54782848994.11403
solo_L2_eui-fsi174-image_20220403T152045273_V01.fits,"[-3240.8313951124437, -4051.578854619758, -3000.608454159694]","[-629.1715502255679, -1528.9791550201783, -1745.6398923550476]",54792886566.77965
solo_L2_eui-fsi174-image_20220403T153045276_V01.fits,"[-3463.1337550026365, -4225.969630214851, -3035.54314156645]","[-337.76778561059393, -1343.6316842036842, -1756.917629481728]",54802929500.76183
solo_L2_eui-fsi174-image_20220403T154045275_V01.fits,"[-3954.401413272135, -4747.199883555993, -3274.5352562067565]","[-134.82634097262095, -1275.1463712868651, -1972.002433416412]",54812977818.0691
solo_L2_eui-fsi174-image_20220403T155045276_V01.fits,"[-4394.178265975323, -5279.141998859122, -4016.972741733771]","[-59.675823044956566, -1244.5248321849522, -2162.496936026032]",54823031421.33031
