file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220328T162545241_V02.fits,"[-2862.892072390532, -3157.0016911500134, -3002.333905113861]","[1013.2002614111886, 843.5001055276787, 511.8409181142215]",48783324723.515625
solo_L2_eui-fsi174-image_20220328T193845261_V02.fits,"[-3477.7550788263325, -4327.483521111077, -3712.9258693291345]","[1501.5538443149685, 846.1853790516215, 256.8002053548893]",48786611445.167114
solo_L2_eui-fsi174-image_20220328T194845262_V02.fits,"[-3864.521067165304, -5017.090134739876, -3767.8164778484497]","[1742.1815318992917, 666.992917938458, -94.76186220157678]",48852012452.909904
solo_L2_eui-fsi174-image_20220328T195845263_V01.fits,"[-3788.1246661765035, -6086.573082871037, -4146.598981977673]","[1956.6728264091303, 1159.0046603399253, -779.7475370731167]",48855502788.25488
solo_L2_eui-fsi174-image_20220328T200845264_V01.fits,[],[],48859003116.45033
