file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220406T220045268_V01.fits,[],[],60031726346.900505
solo_L2_eui-fsi174-image_20220406T223045271_V01.fits,"[2391.59373631144, 3000.122013501343, 2837.0250114439445]","[-1646.5652814208129, -1392.2372950246415, -722.9996873940623]",60043693699.13978
solo_L2_eui-fsi174-image_20220406T224045272_V01.fits,"[2380.144390823588, 3061.979100087033, 2690.2058939366602]","[-2174.188038302743, -1878.8606158382074, -768.1653562150477]",60079613171.42863
solo_L2_eui-fsi174-image_20220406T225045273_V01.fits,"[2387.507322719517, 3192.4190051069168, 2918.595275084294]","[-2273.560434487004, -2160.3179382623657, -741.1586853045523]",60091592148.277954
solo_L2_eui-fsi174-image_20220406T230045274_V01.fits,"[2353.515872252973, 3481.5517613388874, 3027.1307093744235]","[-2312.4729720944615, -2259.4166872138935, -603.8111696542392]",60103574011.95872
solo_L2_eui-fsi174-image_20220406T231045275_V01.fits,"[2426.481191678905, 3501.6320669402817, 3124.541441889706]","[-2497.941912037112, -2522.755087411719, -505.53279310440894]",60115558769.68375
solo_L2_eui-fsi174-image_20220406T232045276_V01.fits,[],[],60127546417.69758
solo_L2_eui-fsi174-image_20220406T233045280_V01.fits,[],[],60139536943.40536
solo_L2_eui-fsi174-image_20220406T234045278_V01.fits,[],[],60151530407.72157
solo_L2_eui-fsi174-image_20220406T235045279_V01.fits,[],[],60163526634.86807
solo_L2_eui-fsi174-image_20220407T000045280_V01.fits,[],[],60175525788.872154
solo_L2_eui-fsi174-image_20220407T001045281_V01.fits,[],[],60187527805.29131
solo_L2_eui-fsi174-image_20220407T002045282_V01.fits,[],[],60199532684.66587
solo_L2_eui-fsi174-image_20220407T003045283_V01.fits,[],[],60211540422.04296
solo_L2_eui-fsi174-image_20220407T004045284_V01.fits,[],[],60223551015.83988
