file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220819T031055266_V01.fits,[],[],127954703074.27577
solo_L2_eui-fsi174-image_20220819T032055270_V01.fits,"[-1100.5690244173165, -1089.1195684650447, -998.7480365391821]","[-501.32238307118325, -607.1591495132916, -559.7632337099541]",127947249286.39322
solo_L2_eui-fsi174-image_20220819T033055284_V01.fits,"[-1083.7555609827396, -1103.1395453021396, -1002.5793299921787]","[-480.6665860549933, -614.2340884410432, -596.5898273048456]",127939794222.94292
solo_L2_eui-fsi174-image_20220819T034055269_V01.fits,[],[],127932337780.32137
solo_L2_eui-fsi174-image_20220819T035055270_V01.fits,[],[],127924880445.29962
solo_L2_eui-fsi174-image_20220819T040055271_V01.fits,[],[],127917421668.43842
solo_L2_eui-fsi174-image_20220819T041055272_V01.fits,[],[],127909961643.1261
solo_L2_eui-fsi174-image_20220819T042055273_V01.fits,"[-1248.146631487878, -1387.3956705271266, -1114.539857916534]","[-482.76796914945123, -777.6491579928495, -793.3253486333876]",127902500368.35936
solo_L2_eui-fsi174-image_20220819T043055274_V01.fits,"[-1379.57063613832, -1526.8171547572128, -1061.7164663658477]","[-451.3682840409276, -885.5784132020799, -900.6503089485834]",127895037843.52156
solo_L2_eui-fsi174-image_20220819T044055276_V01.fits,"[-1911.987643195549, -2189.3929225166794, -967.2664894813207]","[-412.82004946127097, -1487.1884954487152, -1324.2068882490469]",127887574076.53741
solo_L2_eui-fsi174-image_20220819T045055277_V01.fits,[],[],127880109055.20853
solo_L2_eui-fsi174-image_20220819T050055278_V01.fits,[],[],127872642789.17165
solo_L2_eui-fsi174-image_20220819T051055278_V01.fits,[],[],127865175273.25093
solo_L2_eui-fsi174-image_20220819T052055279_V01.fits,[],[],127857706513.47421
solo_L2_eui-fsi174-image_20220819T053055280_V01.fits,[],[],127850236503.71748
solo_L2_eui-fsi174-image_20220819T054055282_V01.fits,[],[],127842765242.7938
solo_L2_eui-fsi174-image_20220819T055055282_V01.fits,[],[],127835292731.60054
solo_L2_eui-fsi174-image_20220819T060047159_V01.fits,[],[],127827818977.8837
solo_L2_eui-fsi174-image_20220819T061047160_V01.fits,[],[],127820445198.19803
solo_L2_eui-fsi174-image_20220819T062047161_V01.fits,[],[],127812968960.80211
solo_L2_eui-fsi174-image_20220819T063055162_V01.fits,[],[],127805491474.08665
solo_L2_eui-fsi174-image_20220819T064055163_V01.fits,[],[],127797913016.89787
solo_L2_eui-fsi174-image_20220819T065055164_V01.fits,[],[],127790433014.74588
solo_L2_eui-fsi174-image_20220819T070055164_V01.fits,[],[],127782951765.9804
