file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220818T094055300_V01.fits,[],[],128730413951.28911
solo_L2_eui-fsi174-image_20220818T095055284_V01.fits,[],[],128723090878.07901
solo_L2_eui-fsi174-image_20220818T100055297_V01.fits,[],[],128715766817.23882
solo_L2_eui-fsi174-image_20220818T101055292_V01.fits,[],[],128708441166.31133
solo_L2_eui-fsi174-image_20220818T102055287_V01.fits,"[-1267.229985826183, -1362.6278776684776, -956.7391478023492]","[-394.9271249090003, -833.0275670666239, -879.8766355421725]",128701114478.14563
solo_L2_eui-fsi174-image_20220818T103055301_V01.fits,"[-1305.8125959997997, -1509.315969474148, -882.8757411758415]","[-384.50072519511133, -979.135351139578, -834.6458057674564]",128693786552.0648
solo_L2_eui-fsi174-image_20220818T104055305_V01.fits,"[-1346.8533524400555, -1888.705289766891, -896.545261914609]","[-344.3661889120069, -1235.2447800004454, -1035.8692727472535]",128686457157.44066
solo_L2_eui-fsi174-image_20220818T105055290_V01.fits,[],[],128679126642.38095
solo_L2_eui-fsi174-image_20220818T110055294_V01.fits,[],[],128671795101.81065
solo_L2_eui-fsi174-image_20220818T111055299_V01.fits,[],[],128664462099.56519
solo_L2_eui-fsi174-image_20220818T112055293_V01.fits,[],[],128657127841.23085
solo_L2_eui-fsi174-image_20220818T113055308_V01.fits,[],[],128649792461.45273
solo_L2_eui-fsi174-image_20220818T114055309_V01.fits,[],[],128642455599.55298
solo_L2_eui-fsi174-image_20220818T115055296_V01.fits,[],[],128635117648.77658
solo_L2_eui-fsi174-image_20220818T120055301_V01.fits,[],[],128627778631.55109
