file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220525T112045332_V01.fits,"[833.8467805884068, 1358.0882959327193, 1121.5518519383584]","[-993.2418898980212, -1013.6060866551819, -600.9984106193638]",133755477333.16313
solo_L2_eui-fsi174-image_20220525T113045626_V01.fits,"[775.8030150565135, 1565.81854312699, 1450.8475924806808]","[-1197.4939932516045, -1153.3575098718727, -509.19113019577753]",133761901575.97083
solo_L2_eui-fsi174-image_20220525T114045488_V01.fits,"[810.2051689982048, 1784.8130588653064, 1326.0644730798388]","[-1515.2760195532544, -1394.5509329986967, -559.1873505384151]",133768329243.12474
solo_L2_eui-fsi174-image_20220525T115045239_V01.fits,[],[],133774751074.3784
solo_L2_eui-fsi174-image_20220525T120045240_V01.fits,[],[],133781170503.64108
