file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220718T203055258_V01.fits,"[-861.015792858554, -906.7728155511433, -660.5094606643543]","[-452.82139770820856, -697.1262983899319, -713.5705297735411]",149524715124.5111
solo_L2_eui-fsi174-image_20220718T204055259_V01.fits,[],[],149522469811.626
solo_L2_eui-fsi174-image_20220718T205055260_V01.fits,"[-1279.4904141279403, -1387.7003589568194, -738.3428962819744]","[-297.25295244447227, -860.6977567786035, -915.8297174132794]",149520223410.0561
solo_L2_eui-fsi174-image_20220718T210055261_V01.fits,[],[],149517975917.15765
solo_L2_eui-fsi174-image_20220718T211055262_V01.fits,"[-1257.8201794864144, -1388.7011419688351, -762.7438091628719]","[-267.06237513632414, -813.1097163750597, -984.7551354962927]",149515727335.54236
solo_L2_eui-fsi174-image_20220718T212055263_V01.fits,"[-1319.8395374834072, -1330.8085000689607, -713.6082447515801]","[-287.4758050711474, -979.4909125725495, -1055.932671065684]",149513477662.50638
solo_L2_eui-fsi174-image_20220718T213055264_V01.fits,[],[],149511226898.83267
solo_L2_eui-fsi174-image_20220718T214055265_V01.fits,"[-1555.860030350741, -1700.2249353688676, -735.9842353202403]","[-161.41772407579745, -908.0276194971281, -1155.5789557556407]",149508975046.44968
solo_L2_eui-fsi174-image_20220718T215055266_V01.fits,[],[],149506722103.1661
solo_L2_eui-fsi174-image_20220718T220055267_V01.fits,[],[],149504468069.30725
solo_L2_eui-fsi174-image_20220718T221055268_V01.fits,[],[],149502212944.62698
