file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220331T015045232_V02.fits,[],[],50483327349.25842
solo_L2_eui-fsi174-image_20220331T020045232_V02.fits,[],[],50489825699.500885
solo_L2_eui-fsi174-image_20220331T021045248_V02.fits,"[2483.033367343169, 3364.1445644121895, 3150.899250416569]","[-1956.9971691320752, -1925.8852008290983, -1359.7614202219395]",50496332758.05689
solo_L2_eui-fsi174-image_20220331T022045235_V02.fits,"[2522.124807748757, 3771.3006531834167, 3141.0022393554486]","[-1955.6534285324344, -2065.032923092094, -1211.861396220007]",50502848425.75684
solo_L2_eui-fsi174-image_20220331T023045236_V02.fits,"[2571.768640270692, 4249.096552950844, 3274.6828598063667]","[-2100.665065200236, -2573.2694524948656, -1197.2586928047053]",50509372222.09042
solo_L2_eui-fsi174-image_20220331T024045256_V02.fits,"[2747.7698106778757, 4422.442994057741, 3312.5883672197615]","[-2306.8566369439363, -2723.659486131441, -1073.5173941598448]",50515904595.16091
solo_L2_eui-fsi174-image_20220331T025045238_V02.fits,"[2571.3784911316916, 4951.44715757895, 3809.855270817221]","[-2735.767025882754, -2757.7685710834444, -940.2985270030234]",50522445602.598465
solo_L2_eui-fsi174-image_20220331T030045239_V02.fits,"[2858.255293543778, 5590.1707491619845, 4600.337923939165]","[-3292.5510758550213, -3192.701993241564, -908.1493351456799]",50528994609.53699
