file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220428T035045296_V01.fits,[],[],98699964099.9377
solo_L2_eui-fsi174-image_20220428T040045296_V01.fits,"[888.3568571892467, 1914.2849385602651, 1654.111905643734]","[-1307.9069792688383, -1445.6735559974925, -601.2367874771273]",98711426759.04773
solo_L2_eui-fsi174-image_20220428T041045298_V01.fits,"[715.865985742685, 2019.1842427030563, 1693.3613876240174]","[-1588.2312151616395, -1757.5970537617172, -468.3747478609036]",98722888134.02965
solo_L2_eui-fsi174-image_20220428T042045298_V01.fits,[],[],98734348261.18494
solo_L2_eui-fsi174-image_20220428T043045300_V01.fits,[],[],98745807106.8717
solo_L2_eui-fsi174-image_20220428T044045300_V01.fits,[],[],98757264695.44313
solo_L2_eui-fsi174-image_20220428T045045301_V01.fits,[],[],98768721016.56577
solo_L2_eui-fsi174-image_20220428T050045303_V01.fits,[],[],98780176071.28517
