file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220529T164045229_V01.fits,[],[],137441074378.69595
solo_L2_eui-fsi174-image_20220529T165045230_V01.fits,[],[],137446773863.7313
solo_L2_eui-fsi174-image_20220529T170045231_V01.fits,[],[],137452472169.8192
solo_L2_eui-fsi174-image_20220529T171045232_V01.fits,"[1047.5892605004556, 1086.137781782001, 811.2542287027323]","[661.9118199535526, 927.1840579837911, 934.8143495026299]",137458169295.8414
solo_L2_eui-fsi174-image_20220529T172045233_V01.fits,"[1045.206974120876, 1119.5243122368367, 754.9726363736468]","[618.4020013732287, 954.4014066587915, 943.3085463479754]",137463865240.38742
solo_L2_eui-fsi174-image_20220529T173045233_V01.fits,[],[],137469560003.21323
solo_L2_eui-fsi174-image_20220529T174045235_V01.fits,[],[],137475253577.98962
solo_L2_eui-fsi174-image_20220529T175045236_V01.fits,[],[],137480945987.48877
solo_L2_eui-fsi174-image_20220529T180045237_V01.fits,[],[],137486637206.99576
solo_L2_eui-fsi174-image_20220529T181045238_V01.fits,[],[],137492327247.12076
solo_L2_eui-fsi174-image_20220529T182045239_V01.fits,[],[],137498016104.8657
